,PER,PBR,PCR,PSR,배당수익률,정상영업이익증가율,순이익증가율,매출액증가율,1주당순이익,부채비율,소형주,외국인 순매수 강도,종목코드,수익률
2020-12-01,177.68327500000004,3.3799624999999995,25.660775,2.048959375,0.34440625,70.067536476,37.91320065749999,15.6636631357,-5367.24,-3.7552634878500006,0.06775120298214775,1.774093168587426,051910,-0.2503793626707132
2021-03-01,204.34877377049187,3.8856819672131144,29.51218360655738,2.357098360655737,0.29696885245901633,-9.640036471800002,-27.434200657499993,-9.06176313784,6799.32,8.018263487850001,0.06672160453137985,0.46392204267711984,051910,0.09448818897637795
2022-03-01,128.06542222222225,3.8267587301587302,23.251733333333334,2.2993142857142854,1.440253968253968,-304.92320985000003,-563.700829755,-50.2744694422,48050.16,0.66439162545,0.06860156507295809,0.548677802364403,051910,0.13915857605177995
2011-12-01,28.033777777777775,8.356647619047619,26.67111111111111,4.896063492063492,3.1886,29.563288366500004,12.2683695435,8.799587840900001,984.3000000000001,-6.06542666415,0.08332497127688486,-0.2904998166401016,052690,-0.9978425026968716
2012-03-01,35.39911111111112,10.552384126984126,33.67946666666668,6.181701587301588,2.5873619047619054,-1.88528837175,9.4876304607,6.544212159100001,683.4,16.838426661,0.08185990678929346,-0.008697221972478585,052690,0.12150537634408602
2012-09-01,27.448996721311477,8.844196721311476,25.658465573770492,5.061232786885246,3.068619672131147,-71.77968903,-48.448094173499996,40.669933098899996,586.5,-20.789206577999988,0.08352570666612029,0.1982636152855512,052690,0.12965186074429771
2012-12-01,27.795250000000003,8.9554625,25.983125,5.12525625,3.0250906250000003,10.2927535935,33.1195102875,8.607004892419999,770.1,-12.215869029000002,0.08457264140477964,-0.08908443493558403,052690,0.025034770514603615
2013-09-01,26.554116129032256,8.821261290322578,24.638554838709684,4.782996774193547,2.5093225806451604,-5.690522702550001,1.9005035857500001,44.2058520494,375.36,-26.1399634335,0.08399923895898077,-0.12021959783657964,052690,-0.05499276410998553
2016-03-01,26.468444444444444,3.658187301587301,22.108088888888897,1.8134539682539677,1.825793650793651,-223.1045166,-106.424488275,-0.66904083456,-495.72,7.2842562345,0.0905404985075743,-0.12384500318503772,052690,0.04434250764525994
2016-09-01,41.208472131147545,3.1565967213114754,27.555672131147542,2.0491377049180324,0.7197065573770492,352.21430454000006,345.888216135,15.333277384600002,627.3,-16.363221283499993,0.08999318757406467,0.8026584280026511,052690,-0.09586466165413533
2016-12-01,42.30854193548387,3.241003225806452,28.291380645161297,2.1047774193548388,0.7037838709677418,-111.481265175,-126.97467552,-21.62274340869999,-130.56,1.84765709625,0.09149817412310736,-0.8049995712827187,052690,0.20770519262981574
2017-03-01,34.79182222222221,2.6653015873015864,23.265777777777778,1.7301047619047623,0.8549809523809527,-81.4352348565,11.453675478000001,22.200543408700003,-232.56,-6.92965709625,0.0915223088899707,0.18685529442553564,052690,-0.1762208067940552
2017-06-01,60.56689032258063,2.627783870967741,28.791225806451614,2.2437129032258056,0.46890161290322574,-98.3187102975,-122.322260445,-37.720508208700004,38.76,83.934162375,0.09191142779757898,-0.3969176246048705,052690,0.27490774907749077
2018-09-01,63.96880000000001,3.06033,33.18616000000001,2.9173533333333332,0.7525666666666666,22.491544246500002,42.4785700185,28.7592597388,28.560000000000002,-10.135800339000001,0.09285751892999894,0.3274039847320788,052690,0.06666666666666667
2018-12-01,43.12183606557379,2.0636459016393442,22.372275409836064,1.966537704918033,1.1036786885245902,2141.3353542,452.72666523000004,19.3413965371,149.94,-2.8586279127000003,0.09325081994850186,0.017885377916665772,052690,0.043478260869565216
2019-06-01,54.09410169491526,2.4066,26.414915254237293,2.3312000000000013,0.9091372881355934,-44.909445819,106.12340581500001,-50.904209435700004,245.82,62.527721140500006,0.09244801188570403,0.15938323239447358,052690,0.16149068322981366
2020-12-01,26.67,1.476475,12.682425000000002,1.6540281249999997,2.021965625,-373.764420855,-410.92702623,8.66679791338,212.16,-7.3545352797,0.09490903954246838,0.08548073514442077,052690,-0.07207207207207207
2021-03-01,27.084170491803274,1.4993737704918029,12.879081967213114,1.6785016393442618,1.9884459016393443,373.764420855,410.92702623,-8.66679791338,266.22,0.9705352797000001,0.09402570765975775,-0.3973569099331164,052690,-0.24033149171270718
2021-06-01,30.97322666666667,1.6720600000000005,14.658560000000001,1.8799366666666666,1.780836666666667,-96.8590679595,-87.767500401,-52.580308892000005,43.86,45.139064145,0.08736097320266768,-0.26714687294523976,052690,-1.1956521739130435
2022-03-01,172.2940444444445,7.184701587301585,77.97955555555556,8.47595873015873,0.3938619047619046,-1756.2347029500002,286.33256589,-5.12132616017,434.52,-0.31008014519999993,0.08304322216331117,-0.21550948180355414,052690,0.046485260770975055
2022-06-01,177.0169491525424,7.187999999999999,78.88501694915256,8.501999999999999,0.36760847457627116,-131.331996495,-115.78899832500001,-54.48037555879999,-44.88,46.9964206845,0.08369213647569643,-0.24506290733260164,052690,0.14251207729468598
2011-12-01,11.145599999999998,2.6591206349206344,10.506311111111113,2.774873015873015,0.7807603174603174,-19.286718213,-20.915705685000002,-5.308950830300001,2546.94,-1.08724329945,0.08819468086438685,0.5994547929450803,057050,0.01845018450184502
2012-03-01,9.99751111111111,2.385473015873016,9.424888888888889,2.489425396825397,0.869757142857143,35.47771821299999,32.003705685,29.2662508303,3820.92,-2.79775670055,0.08732301544361377,1.2555501856544407,057050,-0.05928853754940711
2012-09-01,11.321180327868856,2.084731147540983,10.683331147540986,2.544931147540983,0.9289704918032787,-19.4822724285,20.628544356000003,0.8712131637000001,3810.7200000000003,-6.33156632535,0.08914937823917035,-0.5237327534497601,057050,-0.043478260869565216
2012-12-01,9.607500000000002,1.76963125,9.067274999999999,2.160690625,1.0922359375000001,-15.2170929855,-23.217606131999993,-4.8629642758200005,2968.2000000000003,-26.759666041500004,0.08804253200505556,-1.2961822559196459,057050,0.012244897959183673
2013-09-01,19.14712258064516,2.1515967741935484,17.61109677419355,2.7587258064516123,0.7969774193548388,1.2535306875,670.7483203050001,2.09011410155,3024.3,-3.462747414,0.08631044910029399,-0.4858990662802307,057050,-0.01935483870967742
2016-03-01,10.767466666666667,1.3039936507936505,10.208177777777774,1.9322031746031743,1.1775095238095241,9.5870595408,-22.759520028,-0.2160738472499999,2515.32,-8.766407991599989,0.08844980035966085,-0.7683205675365563,057050,-0.15486725663716813
2016-09-01,16.120839344262297,1.3695737704918032,14.903895081967216,2.1058163934426224,1.2062934426229512,-12.570906715499987,-20.1372223395,17.912425789500002,2071.62,3.1332554746499897,0.08818098082227022,0.4311638236395488,057050,0.024
2016-12-01,14.95651612903226,1.2709741935483876,13.825858064516131,1.9527096774193546,1.2969435483870966,-32.8407062025,-18.993809782499987,-3.5954260107500007,1696.26,7.490452626300001,0.08885415342821106,0.12991045514197452,057050,0.08979591836734693
2017-03-01,13.657422222222223,1.1599587301587297,12.623822222222223,1.784047619047619,1.4237793650793646,17.290206202500002,18.069809782500002,1.2628260107500002,3948.42,-4.9704526262999895,0.08893925822046342,0.11456015321629809,057050,-0.13333333333333333
2017-06-01,11.60843870967742,1.0679,10.532877419354838,1.6327774193548388,1.4374241935483871,52.029282354,1.84741624515,-3.05994726279,4061.64,27.9219069885,0.0878790725734638,-0.23527873521297737,057050,-0.03968253968253968
2018-09-01,11.904293333333335,0.9695666666666667,10.279360000000002,1.4726400000000002,1.678116666666667,-18.33272994,-97.22986650300001,4.90576235089,2776.44,-2.8209011817,0.08888298386340839,0.4115470831232473,057050,0.013333333333333334
2018-12-01,12.353232786885247,1.0070622950819674,10.667724590163935,1.5280032786885247,1.6157000000000004,-39.294015621,-22.379351043,-3.47329221002,2185.86,-2.4159260800499895,0.08982940856992903,0.021846440601462437,057050,0.1
2020-12-01,10.140900000000002,0.5192,5.341000000000001,0.41558124999999996,3.316665625,-10.834314498000001,1.86531818025,0.9657079335300001,3444.54,2.1562420677,0.09198197180915568,0.40747986777103534,057050,-0.13986013986013987
2021-03-01,11.848131147540986,0.606055737704918,6.240603278688526,0.4863147540983607,2.833219672131148,39.992814498,46.151181814500006,1.5487920664699895,61.2,1.5817579323000002,0.09153406905678997,0.6557621153538213,057050,-0.01761006289308176
2022-03-01,8.021866666666668,0.5148920634920636,4.79448888888889,0.43528888888888884,3.507561904761905,-27.296082261000002,-137.67825645000002,-9.699910859640001,-3853.56,-0.2932631005499895,0.0938060012107617,0.2879504310973272,057050,0.04292527821939587
2022-06-01,7.3490983050847465,0.45959999999999995,4.345789830508475,0.39919999999999983,3.953740677966102,80.377877643,-210.94576860000004,-6.3970998664200005,3889.26,45.128960898,0.09427650004602418,-0.4013068521532171,057050,0.15525876460767946
2007-09-01,51.39824516129032,2.208693548387097,3.178270967741936,0.286816129032258,1.1533564516129031,125.728022595,98.84964474,18.5804224774,1656.48,-16.409989018500003,0.07516668330842474,-1.4528509058459325,066570,-0.14
2008-03-01,71.70944516129032,3.081322580645161,4.433754838709678,0.4000580645161291,0.826316129032258,38.29154434350001,12.3899120835,3.8644723822400002,7777.5,59.58970486350001,0.07370523573542231,0.5567409112407324,066570,-0.31742738589211617
2008-06-01,15.093744262295084,2.705488524590164,3.5439737704918035,0.36599344262295086,0.8926606557377049,-80.42475995400001,-74.7915116445,-86.2955546128,2672.4,114.738696555,0.07203665675611072,0.45571362727283465,066570,0.07782101167315175
2009-03-01,12.750933333333338,2.286203174603174,2.994311111111112,0.30848571428571425,1.0626968253968254,-195.46570953000003,-313.86609009,4.92705694412,-4532.88,84.31828755,0.07507314495086143,0.015052133167347676,066570,-0.17935483870967742
