,Kospi지수,원/달러 환율,원/엔 환율,국고채 3년 금리(%),국고채 10년 금리(%),kospi_per,kospi_pbr,vkospi200,g10_esi(%),wti,ustb_2y(%),ustb_10y(%),ustips_10y(%),vix(%),EPU index,usa_pmi,china_pmi,kr_export(%),kr_cpi_yoy(%),uscpi_yoy(%),treasury_10_3_diff(%),us_10_2_diff(%),us_e_infla(%),kr_real_rate(%),lables
2017-03-01,2160.23,1132.2152173913043,10.003304347826086,1.7046695652173915,2.2144,14.73,1.06,11.605000000000002,42.525000000000006,49.33,1.3130434782608698,2.4817391304347827,0.4856521739130435,11.89782608695652,112.85290322580646,56.6,51.2,13.7,2.3,2.7,0.5097304347826087,1.168695652173913,1.50315,-0.5953304347826083,1
2017-06-01,2391.79,1130.8304545454548,10.164454545454545,1.671277272727273,2.1657,14.46,1.14,11.90952380952381,-13.2,45.18,1.342272727272727,2.186818181818182,0.4581818181818182,22.598181818181818,95.05999999999996,56.7,50.4,13.6,1.8,1.9,0.4944227272727273,0.8445454545454545,0.95869,-0.1287227272727271,0
2017-09-01,2394.47,1132.7495238095237,10.199904761904762,1.7815952380952385,2.2859142857142856,13.58,1.1,13.130476190476193,6.525,49.82,1.3844999999999998,2.202,0.368,36.5245,84.18766666666667,60.2,51.0,35.0,2.0,1.9,0.5043190476190476,1.5375,2.0578,-0.2184047619047615,2
2017-12-01,2467.49,1083.3750000000002,9.563238095238097,2.0965761904761906,2.470119047619048,12.99,1.11,12.416842105263155,52.525,57.88,1.844,2.4025,0.503,44.928,90.57258064516128,59.3,51.5,8.9,1.4,2.2,0.3735428571428572,0.5585,2.82407,0.6965761904761907,0
2018-03-01,2445.8501,1069.6022727272727,10.061363636363636,2.271190909090909,2.711936363636364,13.1,1.12,16.98619047619048,4.4,62.73,2.275714285714286,2.842380952380953,0.7519047619047619,19.02380952380953,76.3758064516129,59.3,51.0,5.5,1.2,2.2,0.4407454545454545,0.8238095238095237,1.68874,1.071190909090909,0
2018-06-01,2326.1299,1094.2619047619048,9.916476190476187,2.178761904761905,2.662828571428572,11.05,1.05,14.464736842105262,-33.93333333333334,67.87,2.5333333333333337,2.9123809523809525,0.7947619047619047,13.67809523809524,103.78933333333332,60.0,51.0,-0.4,1.5,2.8,0.4840666666666667,0.379047619047619,1.591,0.6787619047619051,2
2018-09-01,2343.0701,1119.245,9.971949999999998,2.003585,2.35088,11.24,1.03,11.74470588235294,-2.525,70.23,2.767894736842105,3.0042105263157897,0.8810526315789473,12.910526315789474,67.36266666666668,59.5,50.0,-8.1,2.1,2.7,0.347295,0.2363157894736842,2.41001,-0.0964150000000003,0
2018-12-01,2041.04,1121.6775000000002,9.990095238095236,1.85574,2.0149099999999995,9.58,0.87,18.251578947368422,-28.125000000000004,49.52,2.6763157894736844,2.832631578947369,1.0163157894736845,24.953157894736844,127.53290322580648,54.3,49.7,-5.8,1.3,2.2,0.15917,0.3457894736842105,1.98107,0.5557400000000001,2
2019-03-01,2140.6699,1131.107142857143,10.162571428571429,1.790285712857143,1.9544761857142856,10.13,0.92,14.416500000000005,-29.100000000000005,58.15,2.4095238095238094,2.570952380952381,0.6580952380952382,14.485238095238092,94.65645161290324,55.3,50.2,-8.4,0.4,1.5,0.1641904728571429,0.1614285714285714,1.37532,1.390285712857143,0
2019-06-01,2130.6201,1170.9045,10.822950000000002,1.498100007,1.6184999999999998,12.32,0.9,14.872105263157897,-24.6,54.66,1.8140000000000005,2.074,0.374,15.836,137.37066666666666,51.7,49.4,-13.8,0.7,1.8,0.120399993,0.62,1.60914,0.7981000070000002,2
